idx,composition,E_f,wyckoff
63306b1d072c85e7307fc88272a260f9fe81835a,Ti(Zn2N)2,-0.3208047785714294,"('N @ 8-e-141', 'Ti @ 4-a-141', 'Zn @ 8-e-141', 'Zn @ 8-e-141')"
8275208fda23cb8fdc323058609e619fd193dcf8,Ti(Zn2N3)2,0.19673355000000026,"('N @ 4-e-128', 'N @ 8-h-128', 'Ti @ 2-a-128', 'Zn @ 8-g-128')"
cd76701f96910ccb51ad3a106956fc9d2006de97,Ti(Zn2N3)2,0.20244282272727254,"('N @ 1-a-1', 'N @ 1-a-1', 'N @ 1-a-1', 'N @ 1-a-1', 'N @ 1-a-1', 'N @ 1-a-1', 'Ti @ 1-a-1', 'Zn @ 1-a-1', 'Zn @ 1-a-1', 'Zn @ 1-a-1', 'Zn @ 1-a-1')"
ff4c94e7242e2e23579f88207fcce13cf6f09888,Ti(Zn2N3)2,0.20367536818181886,"('N @ 2-a-8', 'N @ 2-a-8', 'N @ 4-b-8', 'N @ 4-b-8', 'Ti @ 2-a-8', 'Zn @ 4-b-8', 'Zn @ 4-b-8')"
57a5386fcc6dc2d37c7b374a2488c31992ea85f2,Ti(Zn2N3)2,0.23635945909091038,"('N @ 4-g-55', 'N @ 4-g-55', 'N @ 4-h-55', 'Ti @ 2-a-55', 'Zn @ 4-h-55', 'Zn @ 4-h-55')"
5ca38cb733fbecbe3a2c717c63416196a3db1b46,Ti(Zn2N3)2,0.44410718636363633,"('N @ 36-f-167', 'Ti @ 6-b-167', 'Zn @ 18-e-167', 'Zn @ 6-a-167')"
ebb199882c2996b39ca4637a772a9e26d35fb37d,Ti(Zn2N3)2,0.514729913636363,"('N @ 12-e-229', 'Ti @ 2-a-229', 'Zn @ 8-c-229')"
509f6891a8e99e8111f32404c8d394a9573efa6a,Ti(Zn2N3)2,0.6022226409090914,"('N @ 4-e-113', 'N @ 8-f-113', 'Ti @ 2-a-113', 'Zn @ 4-e-113', 'Zn @ 4-e-113')"
ced22ab3cd16ffb5e9065b8e767dab26df61ba66,Ti(Zn2N3)2,0.6049190045454544,"('N @ 4-g-127', 'N @ 8-j-127', 'Ti @ 2-a-127', 'Zn @ 4-g-127', 'Zn @ 4-h-127')"
be7b7ba1db9683f6080dd0fbf70997bcbd600aec,Ti(Zn2N3)2,0.7434503681818176,"('N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'N @ 4-a-9', 'Ti @ 4-a-9', 'Zn @ 4-a-9', 'Zn @ 4-a-9', 'Zn @ 4-a-9', 'Zn @ 4-a-9')"
7c3693660f9d996656018314e08bbcd78328e35f,Ti(Zn2N3)2,0.873606277272728,"('N @ 4-g-127', 'N @ 8-j-127', 'Ti @ 2-b-127', 'Zn @ 4-g-127', 'Zn @ 4-h-127')"
ad9bceea7eede453eb096d9c6456887c9e52a209,Ti(Zn2N3)2,0.9725999136363628,"('N @ 2-e-123', 'N @ 2-f-123', 'N @ 2-g-123', 'N @ 2-h-123', 'N @ 4-i-123', 'Ti @ 2-g-123', 'Zn @ 1-c-123', 'Zn @ 1-d-123', 'Zn @ 2-h-123', 'Zn @ 4-i-123')"
dc03379f33f242b477f1f63e438184805beaaad0,Ti(Zn2N3)2,1.0496537318181822,"('N @ 1-a-123', 'N @ 1-d-123', 'N @ 4-i-123', 'Ti @ 1-b-123', 'Zn @ 2-f-123', 'Zn @ 2-h-123')"
f5018cb0f03054afddaf982d2d031110c0a4893f,Ti(Zn2N3)3,0.28205869218750035,"('N @ 2-a-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'N @ 4-i-12', 'Ti @ 2-c-12', 'Zn @ 4-i-12', 'Zn @ 4-i-12', 'Zn @ 4-i-12')"
388f780382a5bd4fc1460f7de804a22d6a8b24bf,Ti(Zn2N5)3,1.9283913784090911,"('N @ 24-h-229', 'N @ 6-b-229', 'Ti @ 2-a-229', 'Zn @ 12-e-229')"
88cbc836daf8a408f4679fcebe1d23662271845d,Ti(Zn2N7)2,1.487068739473684,"('N @ 18-h-166', 'N @ 18-h-166', 'N @ 6-c-166', 'Ti @ 3-a-166', 'Zn @ 3-b-166', 'Zn @ 9-e-166')"
bface38a4a6472865bf64fbb7ce0af057f2171e1,Ti(Zn3N)2,0.6301689944444449,"('N @ 2-c-189', 'Ti @ 1-b-189', 'Zn @ 3-f-189', 'Zn @ 3-g-189')"
6a05385f6a6cb849b1d104795da513719aefe23f,Ti(Zn3N)4,0.35102702352941195,"('N @ 1-a-123', 'N @ 1-c-123', 'N @ 2-f-123', 'Ti @ 1-b-123', 'Zn @ 4-k-123', 'Zn @ 4-l-123', 'Zn @ 4-n-123')"
79af833872eae4e9da30fc6bf5b867edb13cf6f0,Ti(Zn3N2)2,0.2541122454545457,"('N @ 2-b-186', 'N @ 6-c-186', 'Ti @ 2-b-186', 'Zn @ 6-c-186', 'Zn @ 6-c-186')"
257a86b9dfebca11ed504b656c75c42b04787e3c,Ti(Zn3N2)2,0.5407539727272721,"('N @ 4-e-139', 'N @ 4-e-139', 'Ti @ 2-a-139', 'Zn @ 4-d-139', 'Zn @ 8-g-139')"
4a888f3ed19bc87db6a1a5db2bd0a9e968c359a6,Ti(Zn3N4)2,0.5257834800000003,"('N @ 4-c-44', 'N @ 4-d-44', 'N @ 8-e-44', 'Ti @ 2-a-44', 'Zn @ 4-c-44', 'Zn @ 8-e-44')"
ed11da0b5a9bd4df4e61ff30f5b0670a4e12f85d,Ti(Zn3N4)2,0.5812312133333339,"('N @ 32-f-225', 'Ti @ 4-a-225', 'Zn @ 24-d-225')"
431ac0c4bb9caaef88f3ffa0eec74499eab972b9,Ti(Zn3N4)2,0.6305113466666672,"('N @ 24-e-225', 'N @ 8-c-225', 'Ti @ 4-a-225', 'Zn @ 24-d-225')"
236efee1054f02443869969bcb42b0be75700f0f,Ti(Zn3N4)2,0.644555546666667,"('N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'N @ 2-i-2', 'Ti @ 1-a-2', 'Zn @ 2-i-2', 'Zn @ 2-i-2', 'Zn @ 2-i-2')"
